Reference, Value, Footprint, Datasheet, Field4
U2,LAN8720A/LAN8720AI,QFN24,
J1,HEADER_6X1,,
J3,Logic DC_2.1MM,TED_DC_2.1mm,,Jameco_GCD014A-R_or_Mouser_163_7620-E_or_163-2640-E(SMT)
U3,REGULATOR_3.3V,,
C11,0.1uF,,
C21,.1uF,,
C12,0.1uF,,
C8,0.1uF,,
C2,1uF,,
C1,0.1uF,,
X1,25 MHz,,
C4,18pF,,
C3,18pF,,
R5,1M,,
R15,249,,
R13,249,,
R7,33,,
R6,33,,
R16,10k 1%,,
R4,12.1k 1%,,
FB1,500mA,,
R12,49.9,,
R11,49.9,,
R10,49.9,,
R9,49.9,,
C5,.1uF,,
C6,.1uF,,
R2,33,,
R1,33,,
R3,33,,
R8,33,,
R14,4.7k,,
C18,.1uF,,
X2,8Mhz,,
C19,18pF,,
C20,18pF,,
C13,.1uF,,
C14,10uF,,
C7,4.7uF,,
C9,4.7uF,,
C10,0.1uF,,
U1,RJ45_12_PIN,,
U4,PIC32MX795F512H,,
J2,HEADER_10X2,,
