Reference, Value, Footprint, Datasheet, Field4
U7,PIC32MX664F064H,TED_TQFP64,
U3,LAN8720A/LAN8720AI,QFN24,
J1,HEADER_6X1,,
U1,RJ45_PULSE_61NL,,
J3,DC_2.1MM,TED_DC_2.1mm,,Jameco_GCD014A-R_or_Mouser_163_7620-E_or_163-2640-E(SMT)
U6,REGULATOR_3.3V,,
U5,LVDS_DRV,,
U2,LVDS_DRV,,
U4,LVDS_RCVR,,
J2,RJ45_SPI_BUS,RJ45_SMD_5406721-2,
C11,0.1uF,,
C18,.1uF,,
C12,0.1uF,,
C8,0.1uF,,
C2,1uF,,
C1,0.1uF,,
X1,25 MHz,,
C4,18pF,,
C3,18pF,,
R5,1M,,
D1,Yel,,
D2,Grn,,
R15,255,,
R13,255,,
R7,33,,
R6,33,,
R16,10k 1%,,
R4,12.1k 1%,,
FB1,500mA,,
R12,49.9,,
R11,49.9,,
R10,49.9,,
R9,49.9,,
C5,.1uF,,
C6,.1uF,,
R2,33,,
R1,33,,
R3,33,,
R8,33,,
R14,4.7k,,
C15,.1uF,,
X2,8Mhz,,
C16,18pF,,
C17,18pF,,
C13,.1uF,,
C14,10uF,,
C7,4.7uF,,
C9,4.7uF,,
C10,0.1uF,,
